127.0.0.1 - - [30/Nov/2020:02:38:32 -0800] "GET /myApp/simple HTTP/1.1" 200 147
127.0.0.1 - - [30/Nov/2020:02:48:24 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:02:48:24 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:02:48:51 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:02:48:51 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:02:48:51 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:02:48:51 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [30/Nov/2020:02:48:51 -0800] "GET /manager/text/list HTTP/1.1" 200 949
127.0.0.1 - root [30/Nov/2020:02:48:51 -0800] "GET /manager/text/list HTTP/1.1" 200 949
127.0.0.1 - root [30/Nov/2020:02:48:51 -0800] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FDOCUME%7E1%2FLev%2FLOCALS%7E1%2FTemp%2Fcontext7723621618022282708.xml&path=/P2_SimpleServlet HTTP/1.1" 200 72
127.0.0.1 - root [30/Nov/2020:02:48:51 -0800] "GET /manager/text/start?path=/P2_SimpleServlet HTTP/1.1" 200 71
127.0.0.1 - - [30/Nov/2020:02:49:22 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:02:49:22 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:02:49:22 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:02:49:22 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [30/Nov/2020:02:49:22 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - root [30/Nov/2020:02:49:22 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - - [30/Nov/2020:02:49:23 -0800] "GET /P2_SimpleServlet/simple HTTP/1.1" 200 119
127.0.0.1 - - [30/Nov/2020:03:12:33 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:12:33 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:12:33 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [30/Nov/2020:03:12:33 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - root [30/Nov/2020:03:12:33 -0800] "GET /manager/text/stop?path=/ConfigDemoServlet HTTP/1.1" 200 72
127.0.0.1 - root [30/Nov/2020:03:12:33 -0800] "GET /manager/text/start?path=/ConfigDemoServlet HTTP/1.1" 200 72
127.0.0.1 - - [30/Nov/2020:03:12:33 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:12:48 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:12:48 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:12:48 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:12:48 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [30/Nov/2020:03:12:48 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - root [30/Nov/2020:03:12:48 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - root [30/Nov/2020:03:12:48 -0800] "GET /manager/text/stop?path=/ConfigDemoServlet HTTP/1.1" 200 72
127.0.0.1 - root [30/Nov/2020:03:12:48 -0800] "GET /manager/text/start?path=/ConfigDemoServlet HTTP/1.1" 200 72
127.0.0.1 - - [30/Nov/2020:03:12:49 -0800] "GET /ConfigDemoServlet HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2020:03:12:58 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:12:58 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:12:58 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:12:58 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [30/Nov/2020:03:12:58 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - root [30/Nov/2020:03:12:58 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - - [30/Nov/2020:03:12:59 -0800] "GET /ConfigDemoServlet HTTP/1.1" 200 -
